Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/7,47.57141,-122.347968,341
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/7,47.571422,-122.34976,283
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/8,47.57141,-122.347968,221
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/8,47.571422,-122.34976,227
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/9,47.57141,-122.347968,17
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/9,47.571422,-122.34976,148
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/1,47.57141,-122.347968,117
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/1,47.571422,-122.34976,124
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/10,47.57141,-122.347968,132
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/10,47.571422,-122.34976,143
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/11,47.57141,-122.347968,170
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/11,47.571422,-122.34976,114
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/12,47.57141,-122.347968,60
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/12,47.571422,-122.34976,36
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/13,47.57141,-122.347968,54
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/13,47.571422,-122.34976,28
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/14,47.57141,-122.347968,19
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/14,47.571422,-122.34976,9
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/15,47.57141,-122.347968,35
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/15,47.571422,-122.34976,11
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/16,47.57141,-122.347968,24
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/16,47.571422,-122.34976,15
